date,week,start_date,end_date
2021-03-07,202110,2021-03-07,2021-03-13
2021-03-14,202111,2021-03-14,2021-03-20
2021-03-21,202112,2021-03-21,2021-03-27
2021-03-28,202113,2021-03-28,2021-04-03
2021-04-04,202114,2021-04-04,2021-04-10
2021-04-11,202115,2021-04-11,2021-04-17
2021-04-18,202116,2021-04-18,2021-04-24
2021-04-25,202117,2021-04-25,2021-05-01
2021-05-02,202118,2021-05-02,2021-05-08
2021-05-09,202119,2021-05-09,2021-05-15
2021-05-16,202120,2021-05-16,2021-05-22
2021-05-23,202121,2021-05-23,2021-05-29
2021-05-30,202122,2021-05-30,2021-06-05
2021-06-06,202123,2021-06-06,2021-06-12
2021-06-13,202124,2021-06-13,2021-06-19
2021-06-20,202125,2021-06-20,2021-06-26
2021-06-27,202126,2021-06-27,2021-07-03
2021-07-04,202127,2021-07-04,2021-07-10
2021-07-11,202128,2021-07-11,2021-07-17
2021-07-18,202129,2021-07-18,2021-07-24
2021-07-25,202130,2021-07-25,2021-07-31
2021-08-01,202131,2021-08-01,2021-08-07
2021-08-08,202132,2021-08-08,2021-08-14
2021-08-15,202133,2021-08-15,2021-08-21
2021-08-22,202134,2021-08-22,2021-08-28
2021-08-29,202135,2021-08-29,2021-09-04
2021-09-05,202136,2021-09-05,2021-09-11
2021-09-12,202137,2021-09-12,2021-09-18
2021-09-19,202138,2021-09-19,2021-09-25
2021-09-26,202139,2021-09-26,2021-10-02
2021-10-03,202140,2021-10-03,2021-10-09
2021-10-10,202141,2021-10-10,2021-10-16
2021-10-17,202142,2021-10-17,2021-10-23
2021-10-24,202143,2021-10-24,2021-10-30
2021-10-31,202144,2021-10-31,2021-11-06
2021-11-07,202145,2021-11-07,2021-11-13
2021-11-14,202146,2021-11-14,2021-11-20
2021-11-21,202147,2021-11-21,2021-11-27
2021-11-28,202148,2021-11-28,2021-12-04
2021-12-05,202149,2021-12-05,2021-12-11
2021-12-12,202150,2021-12-12,2021-12-18
2021-12-19,202151,2021-12-19,2021-12-25
2021-12-26,202152,2021-12-26,2022-01-01
2022-01-02,202201,2022-01-02,2022-01-08
2022-01-09,202202,2022-01-09,2022-01-15
2022-01-16,202203,2022-01-16,2022-01-22
2022-01-23,202204,2022-01-23,2022-01-29
2022-01-30,202205,2022-01-30,2022-02-05
2022-02-06,202206,2022-02-06,2022-02-12
2022-02-13,202207,2022-02-13,2022-02-19
2022-02-20,202208,2022-02-20,2022-02-26
2022-02-27,202209,2022-02-27,2022-03-05
2022-03-06,202210,2022-03-06,2022-03-12
2022-03-13,202211,2022-03-13,2022-03-19
2022-03-20,202212,2022-03-20,2022-03-26
2022-03-27,202213,2022-03-27,2022-04-02
2022-04-03,202214,2022-04-03,2022-04-09
2022-04-10,202215,2022-04-10,2022-04-16
2022-04-17,202216,2022-04-17,2022-04-23
2022-04-24,202217,2022-04-24,2022-04-30
2022-05-01,202218,2022-05-01,2022-05-07
2022-05-08,202219,2022-05-08,2022-05-14
2022-05-15,202220,2022-05-15,2022-05-21
2022-05-22,202221,2022-05-22,2022-05-28
2022-05-29,202222,2022-05-29,2022-06-04
2022-06-05,202223,2022-06-05,2022-06-11
2022-06-12,202224,2022-06-12,2022-06-18
2022-06-19,202225,2022-06-19,2022-06-25
2022-06-26,202226,2022-06-26,2022-07-02
2022-07-03,202227,2022-07-03,2022-07-09
2022-07-10,202228,2022-07-10,2022-07-16
2022-07-17,202229,2022-07-17,2022-07-23
2022-07-24,202230,2022-07-24,2022-07-30
2022-07-31,202231,2022-07-31,2022-08-06
2022-08-07,202232,2022-08-07,2022-08-13
2022-08-14,202233,2022-08-14,2022-08-20
2022-08-21,202234,2022-08-21,2022-08-27
2022-08-28,202235,2022-08-28,2022-09-03
2022-09-04,202236,2022-09-04,2022-09-10
2022-09-11,202237,2022-09-11,2022-09-17
2022-09-18,202238,2022-09-18,2022-09-24
2022-09-25,202239,2022-09-25,2022-10-01
2022-10-02,202240,2022-10-02,2022-10-08
2022-10-09,202241,2022-10-09,2022-10-15
2022-10-16,202242,2022-10-16,2022-10-22
2022-10-23,202243,2022-10-23,2022-10-29
2022-10-30,202244,2022-10-30,2022-11-05
2022-11-06,202245,2022-11-06,2022-11-12
2022-11-13,202246,2022-11-13,2022-11-19
2022-11-20,202247,2022-11-20,2022-11-26
2022-11-27,202248,2022-11-27,2022-12-03
2022-12-04,202249,2022-12-04,2022-12-10
2022-12-11,202250,2022-12-11,2022-12-17
2022-12-18,202251,2022-12-18,2022-12-24
2022-12-25,202252,2022-12-25,2022-12-31
